trigger_selection,sample_selection,poison_size,watermark_size,iteration,acc_clean,fp,acc_xb
MinPopulation,p-value,300,4,3,0.99069,0.01006,0.08354514645364318
MinPopulation,p-value,300,8,3,0.990165,0.01086,0.018856122438684814
MinPopulation,p-value,300,16,3,0.990545,0.01016,0.016746532156368222
MinPopulation,instance,30,4,3,0.99183,0.00628,0.7209931915065559
MinPopulation,instance,30,8,3,0.990635,0.0098,0.5607373848466809
MinPopulation,instance,30,16,3,0.991815,0.00734,0.4675620856332684
MinPopulation,instance,150,4,3,0.991645,0.00744,0.6425060309065033
MinPopulation,instance,150,8,3,0.99149,0.00649,0.5553073867828231
MinPopulation,instance,150,16,3,0.991505,0.00821,0.463580234458546
MinPopulation,instance,300,4,3,0.991355,0.00778,0.7951518945168553
MinPopulation,instance,300,8,3,0.99133,0.00884,0.7339485627836612
MinPopulation,instance,300,16,3,0.991205,0.00814,0.4991166523648478
GreedySelection,p-value,30,4,3,0.9912,0.00481,0.9977005905531751
GreedySelection,p-value,30,8,3,0.991675,0.0051,0.9980474480246851
GreedySelection,p-value,30,16,3,0.991575,0.00422,0.9979136493918187
GreedySelection,p-value,150,4,3,0.99101,0.00458,0.9937867423474559
GreedySelection,p-value,150,8,3,0.99126,0.00446,0.9956939350341446
GreedySelection,p-value,150,16,3,0.991235,0.00367,0.9960857484738476
GreedySelection,p-value,300,4,3,0.99106,0.00938,0.9933232476046394
GreedySelection,p-value,300,8,3,0.990235,0.01215,0.9971892567145534
GreedySelection,p-value,300,16,3,0.99146,0.00819,0.995227573125082
GreedySelection,instance,30,4,3,0.991105,0.00776,0.9547360021010738
GreedySelection,instance,30,8,3,0.990665,0.01009,0.9621956385790079
GreedySelection,instance,30,16,3,0.9913,0.00783,0.9012449138253082
GreedySelection,instance,150,4,3,0.99084,0.00739,0.9312990991537505
GreedySelection,instance,150,8,3,0.99073,0.00767,0.9381577750144066
GreedySelection,instance,150,16,3,0.99101,0.00898,0.9269223007063572
GreedySelection,instance,300,4,3,0.991715,0.0067,0.9493399856584489
GreedySelection,instance,300,8,3,0.990745,0.00865,0.956026420506191
GreedySelection,instance,300,16,3,0.99126,0.0078,0.894821875757331
